2018.12.26 13:00:42 INFO  es[][o.e.n.Node] initializing ...
2018.12.26 13:00:43 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (osxfs)]], net usable_space [165.8gb], net total_space [465.6gb], spins? [possibly], types [fuse.osxfs]
2018.12.26 13:00:43 INFO  es[][o.e.e.NodeEnvironment] heap size [494.9mb], compressed ordinary object pointers [true]
2018.12.26 13:00:46 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [sRFO2bzpQs6lLvlcvD6M9w]
2018.12.26 13:00:46 INFO  es[][o.e.n.Node] version[5.6.3], pid[25], build[1a2f265/2017-10-06T20:33:39.012Z], OS[Linux/4.9.93-linuxkit-aufs/amd64], JVM[Oracle Corporation/OpenJDK 64-Bit Server VM/1.8.0_181/25.181-b13]
2018.12.26 13:00:46 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -Xms512m, -Xmx512m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [aggs-matrix-stats]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [ingest-common]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [percolator]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2018.12.26 13:00:46 INFO  es[][o.e.p.PluginsService] no plugins loaded
2018.12.26 13:00:51 INFO  es[][o.e.d.DiscoveryModule] using discovery type [zen]
2018.12.26 13:00:53 INFO  es[][o.e.n.Node] initialized
2018.12.26 13:00:53 INFO  es[][o.e.n.Node] starting ...
2018.12.26 13:00:54 INFO  es[][o.e.t.TransportService] publish_address {127.0.0.1:9001}, bound_addresses {127.0.0.1:9001}
2018.12.26 13:00:57 INFO  es[][o.e.c.s.ClusterService] new_master {sonarqube}{sRFO2bzpQs6lLvlcvD6M9w}{JIq9Q_bZSu2Y3jCp6a3U4Q}{127.0.0.1}{127.0.0.1:9001}{rack_id=sonarqube}, reason: zen-disco-elected-as-master ([0] nodes joined)
2018.12.26 13:00:57 INFO  es[][o.e.n.Node] started
2018.12.26 13:00:59 INFO  es[][o.e.g.GatewayService] recovered [8] indices into cluster_state
2018.12.26 13:01:08 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[metadatas][0]] ...]).
2018.12.26 13:01:29 INFO  es[][o.e.c.m.MetaDataDeleteIndexService] [users/YbiR_ZgGTBu5SlSBuCmRTw] deleting index
2018.12.26 13:01:35 INFO  es[][o.e.c.m.MetaDataCreateIndexService] [users] creating index, cause [api], templates [], shards [1]/[0], mappings []
2018.12.26 13:01:35 INFO  es[][o.e.c.r.a.AllocationService] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[users][0]] ...]).
2018.12.26 13:01:35 INFO  es[][o.e.c.m.MetaDataMappingService] [users/lV1HDy9wSfyc6TwOXkPPoQ] create_mapping [user]
2018.12.26 13:01:37 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2018.12.26 13:01:37 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [30s] to [-1]
2018.12.26 13:01:38 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
2018.12.26 13:01:38 INFO  es[][o.e.c.s.IndexScopedSettings] updating [index.refresh_interval] from [-1] to [30s]
